shotmap/player/name,shotmap/player/firstName,shotmap/player/lastName,shotmap/player/slug,shotmap/player/shortName,shotmap/player/position,shotmap/player/jerseyNumber,shotmap/player/userCount,shotmap/player/id,shotmap/isHome,shotmap/shotType,shotmap/situation,shotmap/playerCoordinates/x,shotmap/playerCoordinates/y,shotmap/playerCoordinates/z,shotmap/bodyPart,shotmap/goalMouthLocation,shotmap/goalMouthCoordinates/x,shotmap/goalMouthCoordinates/y,shotmap/goalMouthCoordinates/z,shotmap/xg,shotmap/id,shotmap/time,shotmap/addedTime,shotmap/timeSeconds,shotmap/draw/start/x,shotmap/draw/start/y,shotmap/draw/end/x,shotmap/draw/end/y,shotmap/draw/goal/x,shotmap/draw/goal/y,shotmap/reversedPeriodTime,shotmap/reversedPeriodTimeSeconds,shotmap/incidentType,shotmap/blockCoordinates/x,shotmap/blockCoordinates/y,shotmap/blockCoordinates/z,shotmap/xgot,shotmap/draw/block/x,shotmap/draw/block/y,shotmap/goalType,shotmap/player/fieldTranslations/nameTranslation/ar,shotmap/player/fieldTranslations/shortNameTranslation/ar
Carlo Holse,,,carlo-holse,C. Holse,F,21,338,837012,false,post,regular,22.9,45.8,0,left-foot,high,0,45.6,41.8,0.071783691644669,2417927,35,,2085,45.8,22.9,54.4,0,54.4,58.2,11,615,shot,,,,,,,,,
Alim Öztürk,,,alim-ozturk,A. Öztürk,D,5,41,151074,false,save,set-piece,9.8,37,0,head,low-left,0,53.9,12,0.01546211540699,2417917,29,,1713,37,9.8,46.1,0,46.1,88,17,987,shot,0.90000000000001,47.7,0,0.1371,47.7,0.90000000000001,,,
Oğuz Aydın,,,oguz-aydin,O. Aydın,M,11,204,999396,true,goal,assisted,10.1,63.2,0,right-foot,high-left,0,52.3,32.3,0.17606799304485,2417916,27,,1582,63.2,10.1,47.7,0,47.7,67.7,19,1118,shot,,,,0.7638,,,regular,,
Jure Balkovec,,,jure-balkovec,J. Balkovec,D,29,182,171625,true,block,set-piece,23.4,71.1,0,left-foot,low-centre,0,51.3,19,0.013464094139636,2417914,26,,1501,71.1,23.4,48.7,0,48.7,81,20,1199,shot,11.4,59.6,0,,59.6,11.4,,,
Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,246,385296,true,block,set-piece,11.4,58.3,0,left-foot,low-centre,0,48.4,19,0.049529436975718,2417913,25,,1498,58.3,11.4,51.6,0,51.6,81,21,1202,shot,9.6,57.2,0,,57.2,9.6,,فيدان عليتي,ف. عليتي
Nuno Lima,Nuno Lima,,nuno-lima,N. Lima,D,2,70,1133301,true,miss,set-piece,11.3,47.9,0,head,right,0,37.3,13.9,0.036002233624458,2417911,25,,1496,47.9,11.3,62.7,0,62.7,86.1,21,1204,shot,9.8,54.7,0,,54.7,9.8,,,
Carlo Holse,,,carlo-holse,C. Holse,F,21,338,837012,false,miss,corner,19.1,48.3,0,left-foot,high,0,52.8,77.8,0.051707930862904,2417904,18,,1045,48.3,19.1,47.2,0,47.2,22.2,28,1655,shot,,,,,,,,,
Yunus Emre Çift,Yunus Cift,,yunus-emre-cift,Y. E. Çift,D,22,99,1063325,false,block,regular,30,57.3,0,right-foot,low-left,0,53.5,19,0.0074358298443258,2417902,16,,945,57.3,30,46.5,0,46.5,81,30,1755,shot,18.2,53.1,0,,53.1,18.2,,,
Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,D,88,95,1084884,true,goal,fast-break,5.2,47.4,0,left-foot,high-left,0,53.7,28.5,0.60983520746231,2417900,14,,827,47.4,5.2,46.3,0,46.3,71.5,32,1873,shot,,,,0.9929,,,regular,,
Richard Cândido,,,richard-candido,Richard Cândido,M,25,287,897617,true,save,set-piece,14.4,50.5,0,right-foot,low-centre,0,50,6.3,0.040072094649076,2417898,14,,783,50.5,14.4,50,0,50,93.7,32,1917,shot,2.5,51.6,0,0.0189,51.6,2.5,,,
Olivier Ntcham,,,olivier-ntcham,O. Ntcham,M,10,1087,352676,false,miss,assisted,27.4,52.6,0,left-foot,close-right,0,43.4,5.6,0.015187322162092,2417891,9,,539,52.6,27.4,56.6,0,56.6,94.4,37,2161,shot,,,,,,,,نتشام، أوليفيه,ن. أوليفيه
Alim Öztürk,,,alim-ozturk,A. Öztürk,D,5,41,151074,false,miss,free-kick,28.8,48.1,0,right-foot,high,0,51.1,62.5,0.035111375153065,2417887,6,,310,48.1,28.8,48.9,0,48.9,37.5,40,2390,shot,,,,,,,,,
Marius Mouandilmadji,,,marius-mouandilmadji,M. Mouandilmadji,F,9,361,943593,false,miss,assisted,6.9,44,0,head,close-high,0,55.6,50,0.22470134496689,2417882,3,,157,44,6.9,44.4,0,44.4,50,43,2543,shot,,,,,,,,,
